job_title,skills_required
Data Scientist,"Python, Pandas, NumPy, scikit-learn, Machine Learning, Statistics, SQL, Data Visualization, Jupyter, R"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Keras, scikit-learn, MLOps, Docker, Kubernetes, AWS, Git"
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, Git, REST API, Responsive Design"
Full Stack Developer,"JavaScript, React, Node.js, Express, MongoDB, Python, Django, PostgreSQL, Git, Docker"
Data Analyst,"SQL, Python, Excel, Tableau, Power BI, Statistics, Data Visualization, Pandas, NumPy, R"
Software Engineer,"Python, Java, JavaScript, Git, SQL, Algorithms, Data Structures, Testing, Agile, Problem Solving"
DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, Terraform, Linux, Bash, Git, CI/CD, Infrastructure as Code"
Backend Developer,"Python, Django, Flask, Node.js, Express, SQL, PostgreSQL, MongoDB, REST API, Microservices"
Frontend Developer,"HTML, CSS, JavaScript, React, Vue.js, Angular, Sass, Webpack, Git, Responsive Design"
Mobile App Developer,"React Native, Flutter, iOS, Android, Swift, Kotlin, Java, Git, Mobile UI/UX, API Integration"
Cloud Architect,"AWS, Azure, Google Cloud, Kubernetes, Docker, Terraform, Microservices, Serverless, Security, Networking"
Cybersecurity Analyst,"Network Security, Penetration Testing, SIEM, Vulnerability Assessment, Incident Response, Compliance, Risk Management"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, Database Design, Performance Tuning, Backup and Recovery, Security"
QA Engineer,"Testing, Selenium, Automated Testing, Test Planning, Bug Tracking, Quality Assurance, Manual Testing, API Testing"
Product Manager,"Product Strategy, Market Research, Agile, Scrum, User Stories, Roadmapping, Analytics, Communication, Leadership"
UX/UI Designer,"Figma, Sketch, Adobe Creative Suite, User Research, Wireframing, Prototyping, Usability Testing, Design Systems"
Business Analyst,"Requirements Analysis, Business Process Modeling, SQL, Excel, Power BI, Stakeholder Management, Documentation"
Data Engineer,"Python, SQL, Apache Spark, Kafka, Airflow, AWS, Data Pipeline, ETL, Big Data, Data Warehousing"
AI/ML Researcher,"Python, TensorFlow, PyTorch, Deep Learning, Computer Vision, Natural Language Processing, Research, Mathematics"
Systems Administrator,"Linux, Windows Server, Active Directory, Network Administration, Virtualization, Monitoring, Troubleshooting"
Sales Engineer,"Technical Sales, Product Demos, Customer Support, CRM, Communication, Problem Solving, Technical Writing"
Technical Writer,"Technical Writing, Documentation, Markdown, Git, API Documentation, User Guides, Content Strategy"
Site Reliability Engineer,"Linux, Docker, Kubernetes, Monitoring, Incident Response, Automation, Scripting, Performance Optimization"
Network Engineer,"Networking, Cisco, Routing and Switching, Network Security, Troubleshooting, CCNA, CCNP, TCP/IP"
Game Developer,"Unity, C#, C++, Game Design, 3D Graphics, Physics, Mobile Games, Version Control, Debugging"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Web3, Cryptocurrency, DeFi, Node.js, JavaScript, Security"
IoT Developer,"Embedded Systems, C/C++, Arduino, Raspberry Pi, Sensors, Wireless Communication, MQTT, Edge Computing"
Research Scientist,"Research, Data Analysis, Statistics, Python, R, Machine Learning, Scientific Writing, Hypothesis Testing"
Solutions Architect,"System Design, Cloud Architecture, Microservices, Scalability, Technical Leadership, Communication, Documentation"
Quantitative Analyst,"Mathematics, Statistics, Python, R, Financial Modeling, Risk Management, Derivatives, Time Series Analysis"
Network Security Engineer,"Firewall, VPN, IDS/IPS, Network Monitoring, Security Protocols, Risk Assessment, Incident Response"
Embedded Systems Engineer,"C, C++, Embedded Linux, RTOS, Microcontrollers, Hardware Design, Debugging, IoT"
Robotics Engineer,"C++, Python, ROS, Computer Vision, Control Systems, Machine Learning, Kinematics, Simulation"
Augmented Reality Developer,"Unity, ARKit, ARCore, 3D Modeling, C#, Computer Vision, Mobile Development"
Virtual Reality Developer,"Unity, Unreal Engine, C#, 3D Modeling, VR Hardware,  Game Design, User Experience"
E-commerce Specialist,"SEO, SEM, Google Analytics, Shopify, Magento, Digital Marketing, Content Strategy"
Digital Marketing Manager,"SEO, SEM, Google Analytics, Content Marketing, Social Media, Email Marketing, PPC"
HR Specialist,"Recruitment, Employee Relations, HRIS, Onboarding, Performance Management, Compliance"
Financial Analyst,"Financial Modeling, Excel, SQL, Data Analysis, Forecasting, Budgeting, Reporting"
Operations Manager,"Process Improvement, Supply Chain Management, Project Management, Lean, Six Sigma"